name,picture,site,institution
浅谷 公威,/assets/images/committee/kimitaka_asatani.jpg,https://researchmap.jp/kimitaka_asatani,東京大学
吉田 光男,/assets/images/committee/mitsuo_yoshida.jpg,https://www.gssm.otsuka.tsukuba.ac.jp/~mitsuo/,筑波大学
松井 暉,/assets/images/committee/akira_matsui.jpeg,https://www.rieb.kobe-u.ac.jp/faculty/global_finance/a_matsui.html,神戸大学
三浦 千哲,/assets/images/committee/chiaki_miura.jpg,https://twitter.com/muler314,東京大学
三浦 崇寛,/assets/images/committee/takahiro_miura.jpg,https://researchmap.jp/tttmiura,神戸大学
持橋 大地,/assets/images/committee/avator_placeholder_8.jpg,,
佐野 幸恵,/assets/images/committee/avator_placeholder_6.jpg,,
粕谷 祐子,/assets/images/committee/avator_placeholder_1.jpg,,
大木 有,/assets/images/committee/avator_placeholder_3.jpg,,
神楽坂 やちま,/assets/images/committee/avator_placeholder_2.jpg,,
